"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","1040102778","Screw","A","4","GB/T70.1-2000"
"2","1040300771","Washer","A","8","GB/T97.1-2002"
"3","00774000200001090","Sensor protective hood","A","1",""
"4","00773400200001010","Bearing","C","12",""
"5","1040103076","Screw","A","2","GB/T70.3-2008"
"6","00774000200001100","TRansition plate","B","1",""
"7","1010202356","Rotary actuator","A","1",""
"8","00774000200001010","Rotary actuator bushing","A","1",""
"9","1040002433","Bolt","A","8","GB/T5783-2000"
"10","00773400300001200","Stop pin","F","8",""
"11","00774100200600000","Lower link","A","2",""
"12","00773700200001060","Pin","B","2",""
"13","02562300200001030","Sensor protective hood II","A","1",""
"14","1040004522","Bolt","A","4","GB/T5783-2000"
"15","00774000200001030","Support leveling cylinder pin","B","1",""
"16","00773400200001020","Bearing","B","2",""
"17","02562300200200000","Support","A","1",""
"18","00774100201800000","Jib cylinder","A","1",""
"19","00774100200001051","Bush II","A","1",""
"20","00774100200001041","Bush I","A","1",""
"21","00773700200001050","Pin","B","3",""
"22","1040001640","Bolt","A","4","GB/T5783-2000"
"23","02562300200001020","Contact block I","A","2",""
"24","02562300200400000","Upper link","A","1",""
"25","00771400211200000","Adjustable clamp","B","2",""
"26","1040301515","Washer","A","8","GB/T97.1-2002"
"27","1040301510","Washer","A","4","GB/T93-1987"
"28","1040004517","Bolt","A","4","GB/T5783-2000"
"29","02562300200001010","Pipeline plate","A","2",""
"30","00773700200001101","Pipeline pressing plate","A","2",""
"31","1040103262","Screw","A","8","GB/T70.3-2000"
"32","00774100200001010","Pipeline protective plate","B","1",""
