"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"39","1040201896","Nut","A","16","GB/T889.1-2015"
"40","1040300514","Washer","A","12","GB/T97.1-2002"
"41","1029904911","Spring washer","A","12","GB93-304"
"42","1040004672","Bolt","A","12","GB/T5783-2000"
"43","1040300771","Washer","A","22","GB/T97.1-2002"
"44","1040103173","Screw","A","2","GB/T70.1-2000"
"45","1040300735","Washer","A","10","GB/T96.1-2002"
"46","1040102017","Screw","A","8","GB/T70.1-2000"
"47","1101000163","Spring hinge","A","2","D-10"
"48","02555400110230000","Rotating gate","A","1",""
"49","00773600130201010","Anti-collision block","B","1",""
"50","1040301515","Washer","A","2","GB/T97.1-2002"
"51","1040201880","Nut","A","1","GB/T802-1988"
"52","00775600101801020","Spring","A","1",""
"53","1040004522","Bolt","A","1","GB/T5783-2000"
"54","00775600101801010","Key cylinder","A","1",""
"55","02555400100201011","Dam-board","A","1",""
"56","1040102372","Hex socket cap screw","A","6","GB/T70.1-2000"
"57","00771100110240000","Backing plate","B","1",""
"58","1040303579","Washer","A","4","GB/T96.1-2002"
"59","1040202855","Nut","A","4","GB/T889.1-2000"
"60","1040301515","Washer","A","4","GB/T97.1-2002"
"61","1040002738","Bolt","A","4","GB/T5783-2000"
"62","00771100110230400","Block","B","1",""
"63","00771100110230200","Block II","B","1",""
"64","00771100110232000","Protective hood","B","1",""
"65","00773400100261060","Bolt","A","2",""
"66","1040302480","Washer","B","4","GB/T96.1-2002"
"67","1040200503","Nut","A","2","GB/T889.1-2000"
"68","1040103112","Screw","A","4","GB/T70.1-2000"
"69","1999904986","Document box","A","1","ZJ1145029"
"70","02555400110210001","Platform weldment","B","1",""
