"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"14","1020521443","Joystick","A","2","TN8A_101EY_N_C
H01"
"15","1040001122","Bolt","A","8","GB/T5783-2000"
"16","1040300514","Washer","A","8","GB/T97.1-2002"
"17","1029802085","Nylon plug","A","8","DPK-M12B"
"18","1020502039","Emergency stop button head","A","1","ZB2-BT4C"
"19","1020520995","Potentiometer","A","1","DD40HS1ZLG"
"20","1990900004","Emergency stop decal","A","1","ZB2BY9330"
"21","1020520994","Joystick","A","1","D10BHD2AK4ZOZ
LG"
"22","1029907663","Water-proof cap","A","1","D-15-PBM-12M"
"23","1020810958","Joystick","A","1","TN8A_108EY_N_C
H01"
"24","1020521444","Joystick","A","1","TN8A_103EY_N_C
H01"
"25","1020520993","Joystick","A","1","D10AHS2AK2ZOZ
LG"
