"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"3","1040302480","Washer","B","8","GB/T96.1-2002"
"12","1040004601","Bolt","A","20","GB/T5782-2000"
"13","02562300410200000","Tower boom - base boom","A","1",""
"14","00774000400001350","Bearing","A","6",""
"22","1040004565","Bolt","A","20","GB/T5783-2016"
"23","1040302489","Washer","B","67","GB/T97.1-2002"
"24","00774100400001131","Long adjustable washer II","A","12",""
"25","00774100400001121","Long adjustable washer I","A","6",""
"26","00774100402800000","Long slider","A","8",""
"27","00774000302600001","Slider assembly","B","16",""
"28","00773400300001140","Adjustable spacer V","B","16",""
"29","00773400300001131","Adjustable spacer(2mm)","A","40",""
"30","1040002434","Bolt","A","48","GB/T5783-2016"
"31","00774100402600000","Slider","A","8",""
"32","00774100400001240","Stroke switch mounting plate","B","1",""
"33","1040101995","Screw","A","4","GB/T70.1-2000"
"34","00771400800001080","Nylon block","A","2",""
"35","00774100400001210","Locating axle","A","1",""
"36","1040103110","Screw","A","2","GB/T70.1-2000"
"37","00774100400001101","Mounting plate","A","1",""
"38","1040103119","Screw","A","2","GB/T70.1-2000"
"39","1040301515","Washer","A","20","GB/T97.1-2002"
"40","00774100700401121","Pipeline press plate I","A","1",""
"41","00774100700401090","Clamp II","A","1",""
"42","00774100700401080","Clamp I","A","1",""
"43","00774100700401161","Subplate IV","A","1",""
"44","1040200503","Nut","A","2","GB/T889.1-2000"
