"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","1040303580","Washer","A","28","GB/T96.1-2002"
"2","1040004520","Bolt","A","20","GB/T5783-2000"
"3","00773401100700000","Hinge","A","4",""
"5","1110100359","Gas spring","A","4",""
"6","1040004032","Bolt","A","6","GB/T5783-2000"
"7","1040303581","Washer","A","8","GB/T96.1-2002"
"8","00773701120001050","Door stopper bracket","A","2",""
"9","1040201646","Nut","A","24","GB/T6170-2000"
"10","1040004678","Knob bolt","A","4","M10×70"
"11","1040006017","Screw","B","14","GB/T70.1-2000"
"12","1040300771","Washer","A","14","GB/T97.1-2002"
"13","1100700163","Door handle","A","2",""
"19","02562301130200000","Left hood assembly","A","1",""
