"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"32","1140258705","Hose assembly","A","1",""
"33","1140299176","Hose assembly","A","1",""
"34","1140282344","Hose assembly","A","1",""
"35","1140245745(3)","Hose assembly","A","1",""
"36","1140299175","Hose assembly","A","1",""
"37","1140299174","Hose assembly","A","1",""
"38","1140258704","Hose assembly","A","1",""
"39","1140261333","Hose assembly","A","1",""
"40","1140253186","Hose assembly","A","1",""
"41","1140245614","Hose assembly","A","1",""
"42","1140213585","Hose assembly","A","1",""
"43","1140252155","Hose assembly","A","1",""
"44","1140252155(2)","Hose assembly","A","1",""
"45","1140258699","Hose assembly","A","1",""
"46","1140258699(2)","Hose assembly","A","1",""
"47","1140253955","Hose assembly","A","1",""
"48","1140253955(2)","Hose assembly","A","1",""
"49","1140258707","Hose assembly","A","1",""
"50","1140258706","Hose assembly","A","1",""
"51","1140258701","Hose assembly","A","1",""
"52","1140254262","Hose assembly","A","1",""
"53","1140256517","Hose assembly","A","1",""
"54","1140256346","Hose assembly","A","1",""
"55","1140206463","Hose assembly","A","1",""
"56","1140253955(3)","Hose assembly","A","1",""
"57","1140258698","Hose assembly","A","1",""
"58","114028700","Hose assembly","A","1",""
"59","1140258703","Hose assembly","A","1",""
"60","1140101426","Straight joint","A","1",""
"61","1140101426(2)","Straight joint","A","1",""
"62","1140101425","Straight joint","A","1",""
"63","1140101425(2)","Straight joint","A","1",""
