"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"22","1040103111","Screw","A","8","GB/T70.1-2000"
"23","1040200503","Nut","A","8","GB/T889.1-2000"
"24","1040301515","Washer","A","24","GB/T97.1-2002"
"25","1040004523","Bolt","A","4","GB/T5783-2000"
"26","00774100700401260","Nylon block","A","1",""
"27","1040103076","Screw","A","4","GB/T70.3-2008"
"28","1040004632","Bolt","A","2","GB/T5782-2000"
"29","1040004517","Bolt","A","8","GB/T5783-2000"
"30","00774100700401232","Pipeline press plate III","A","4",""
"31","00774100700401121","Pipeline press plate I","A","1",""
"32","00774100700401171","Clamp IV","A","3",""
"33","00773400700001051","Bending mounting plate","A","2",""
"34","00774100700401090","Clamp II","A","1",""
"35","00774100700410001","Rectangular pipe welds","C","1",""
"36","00774100700401201","Subplate V","A","2",""
"37","00774100700401161","Subplate IV","A","1",""
"38","00774100700401080","Clamp I","A","1",""
"39","00774100700401052","Chain mechanism","A","1",""
"40","00774100700401010","Rectagular tube","A","1",""
