"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","00774100300400002","Extending boom","B","1",""
"9","1040002433","Bolt","A","14","GB/T5783-2000"
"44","1040302489","Washer","B","38","GB/T97.1-2002"
"49","00774000302400000","Slider assembly","B","4",""
"50","00773400300001131","Adjustable spacer(2mm)","A","10",""
"51","1040002434","Bolt","A","10","GB/T5783-2016"
"52","00774000302600001","Slider assembly","B","8",""
"59","00773400300001140","Adjustable spacer V","B","10",""
"60","00771100301500000","Slider","B","4",""
"61","1040004565","Bolt","A","14","GB/T5783-2016"
"70","00771100301601071","Adjustable spacer","A","2",""
"71","00771100301601061","Adjustable spacer","A","4",""
