"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","00774100300400002","Extending boom","B","1",""
"2","1040004511","Bolt","A","1","GB/T5783-2000"
"3","00773400200001070","Stop pin","F","1",""
"4","00773700300001020","Pin II","B","1",""
"5","00773700300001171","Cylinder adjustable spacer I","B","4",""
"6","00774100300001030","Extending cylinder pin","B","2",""
"7","00773400300001200","Stop pin","F","2",""
"8","00773700300001181","Cylinder adjustable spacer II","B","2",""
"9","1040002433","Bolt","A","14","GB/T5783-2000"
"10","00774000302200001","Left snap-gauge","A","1",""
"11","1040301515","Washer","A","32","GB/T97.1-2002"
"12","1040004519","Bolt","A","6","GB/T5783-2000"
"13","00774000302000001","Right snap gauge","A","1",""
"14","02562300300200000","Extending cylinder","A","1",""
"15","1040103076","Screw","A","4","GB/T70.3-2008"
"16","00773400300001210","Bearing","A","4",""
"17","00773700400001291","Snap gauge","A","2",""
"18","00774100300001070","Bush III","B","1",""
"19","00774000300001040","Main boom upper leveling cylinder
pin","B","1",""
"20","00774100300001080","Bush IV","B","1",""
"21","00774100301000000","Upper leveling cylinder","A","1",""
"22","1040004517","Bolt","A","10","GB/T5783-2000"
"23","00774100300001020","Tail seal plate","A","1",""
"24","00773700300001210","Main boom seal plate","A","2",""
"25","1040002738","Bolt","A","12","GB/T5783-2000"
"26","1040004570","Bolt","A","1","GB/T5783-2000"
"27","00773400400001250","Stop pin","E","1",""
"28","00774000300001010","Pin I","C","1",""
"29","00771402800001130","Self-lubricating bearing","A","2",""
"30","00774100300001050","Bush I","B","1",""
"31","1040004499","Bolt","A","1","GB/T5783-2000"
"32","00773400400001170","Stop pin","E","1",""
"33","00774000300001020","Main boom lifting cylinder upper
pin","C","1",""
