"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","02562300410600000","Tower boom - 3rd boom section","A","1",""
"2","00774100400001080","Cover plate","B","1",""
"3","1040302480","Washer","B","8","GB/T96.1-2002"
"4","1040004590","Bolt","A","6","GB/T5783-2000"
"5","00774100400400000","Tower boom - 2nd boom section","C","1",""
"6","00774100403600000","Dust brush III","B","2",""
"7","02562300401200000","Telescopic system","A","1",""
"8","1040201896","Nut","A","20","GB/T889.1-2015"
"9","00774100400001181","Block","A","20",""
"10","00774100403000000","Dust brush I","B","2",""
"11","1040300771","Washer","A","28","GB/T97.1-2002"
"12","1040004601","Bolt","A","20","GB/T5782-2000"
"13","02562300410200000","Tower boom - base boom","A","1",""
"14","00774000400001350","Bearing","A","6",""
"15","00774100400001231","Bush","A","2",""
"16","1040004499","Bolt","A","1","GB/T5783-2000"
"17","00773400400001170","Stop pin","E","4",""
"18","00774100400001040","Pin III","C","1",""
"19","02562300400400000","Tower boom lifting cylinder","A","1",""
"20","00774100403400000","Dust brush II","B","2",""
"21","00774100403800000","Dust brush IV","B","2",""
