"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","1040300771","Washer","A","6","GB/T97.1-2002"
"2","1040002738","Bolt","A","2","GB/T5783-2000"
"3","00774000101000000","Filter bracket welds","A","1",""
"4","1040102372","Hex socket cap screw","A","2","GB/T70.1-2000"
"5","1040201896","Nut","A","2","GB/T889.1-2015"
"6","00774000100400000","Platform hydraulic valve protective
cover","A","1",""
"7","1040004653","Bolt","A","8","GB/T5783-2000"
"8","1040302512","Washer","A","8","GB/T96.1-2002"
"9","1040004508","Bolt","A","4","GB/T5783-2000"
"10","1040200504","Nut","A","4","GB/T889.1-2000"
"11","00772700100001020","Rubber pad","B","2",""
"12","1040302821","Washer","A","2","GB/T96.1-2002"
"13","1040005852","Bolt","A","2","GB/T5787-2000"
"14","00774000110600000","Hydraulic valve frame weldment","A","1",""
