"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","1140211647","Hose assembly","A","1",""
"2","1140254205","Hose assembly","A","1",""
"3","1011402124","Hose assembly","A","1",""
"4","1140299173","Hose assembly","A","1",""
"5","1140231958","Hose assembly","A","1",""
"6","1140256348","Hose assembly","A","1",""
"7","1140256347","Hose assembly","A","1",""
"8","1140264536","Hose assembly","A","1",""
"9","1140256353","Hose assembly","A","1",""
"10","1140213576","Hose assembly","A","1",""
"11","1140236888","Hose assembly","A","1",""
"12","1140255397","Hose assembly","A","1",""
"13","1140232589","Hose assembly","A","1",""
"14","1140236665","Hose assembly","A","1",""
"15","1140227660","Hose assembly","A","1",""
"16","1140226963","Hose assembly","A","1",""
"17","1140299171","Hose assembly","A","1",""
"18","1140256349","Hose assembly","A","1",""
"19","1140299171(2)","Hose assembly","A","1",""
"20","1140256354","Hose assembly","A","1",""
"21","1140256354(2)","Hose assembly","A","1",""
"22","1140211280","Hose assembly","A","1",""
"23","1140206940","Hose assembly","A","1",""
"24","1140260632","Hose assembly","A","1",""
"25","1140250247","Hose assembly","A","1",""
"26","1140205213","Hose assembly","A","1",""
"27","1140240680","Hose assembly","A","1",""
"28","1140240680(2)","Hose assembly","A","1",""
"29","1140245745","Hose assembly","A","1",""
"30","1140245745(2)","Hose assembly","A","1",""
"31","1140212678","Hose assembly","A","1",""
