"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","1000001002_REF007","Reference assembly","A","1",""
"2","02562307110401080","Fuel pipe VIII","A","1",""
"3","02562307110401070","Fuel pipe VII","A","1",""
"4","02562307110401040","Fuel pipe IV","A","1",""
"5","02562307110401010","Fuel pipe I","A","1",""
"6","1029902994","Cable tie","A","13","CHS-4*200(黑)"
"7","02562307110401050","Fuel pipe V","A","1",""
"8","1990202279","Turbine rod clamp","A","12","SX9/W4/12-20"
"9","00773607100401010","Fuel tank assembly","C","1",""
"10","1040302512","Washer","A","4","GB/T96.1-2002"
"11","1040002434","Bolt","A","4","GB/T5783-2016"
"12","1040302480","Washer","B","6","GB/T96.1-2002"
"13","02562307100401030","Fuel pipe III","A","1",""
"14","1000001002_REF005","Reference assembly","A","1",""
"15","02561907100401020","Fuel pipe II","A","1",""
"16","00772707100401060","Hollow bolt","A","2",""
"17","00772707100401070","Washer","A","4",""
"18","00772707100401050","Connector I","A","2",""
"19","1000001002_REF003","Reference assembly","A","1",""
"20","1040202854","Nut","A","2","GB/T889.1-2000"
"21","1040300771","Washer","A","2","GB/T97.1-2002"
"22","02562307100401090","Oil filter bracket","A","1",""
"23","1040004519","Bolt","A","3","GB/T5783-2000"
"24","1040200503","Nut","A","8","GB/T889.1-2000"
"25","1040006017","Screw","B","2","GB/T70.1-2000"
"26","1000001002_REF004","Reference assembly","A","1",""
"27","1040301515","Washer","A","5","GB/T97.1-2002"
"28","1040004619","Bolt","A","4","GB/T5783-2000"
"29","02562307110401060","Fuel pipe VI","A","1",""
"30","1009902027","Turbo worm clamp","A","4","SX9/W4/8-16"
"31","1000001002_REF006","Reference assembly","A","1",""
