"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"3","1040004520","bolt","A","34","GB/T5783-2000"
"4","1040302480","washer","B","84","GB/T96.1-2002"
"5","1040301510","washer","A","34","GB/T93-1987"
"6","1040201089","nut","A","34","GB/T6170-2000"
"14","1040201382","nut","A","8","GB/T6170-2000"
"15","1040301505","washer","A","8","GB/T93-1987"
"16","1040302513","washer","A","8","GB/T96.1-2002"
"17","00771401110001030","pressing plate","B","4",""
"23","00771401141000001","hinge","B","4",""
"24","02552001100200000","Left hood bracket","A","2",""
"25","1110100476","gas spring","A","4",""
