"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","1040004519","bolt","A","14","GB/T5783-2000"
"2","00771407140601160","Bending plate III","B","1",""
"3","1040002458","bolt","A","4","GB/T5783-2000"
"4","1040004518","bolt","A","10","GB/T5783-2000"
"5","00772107120601020","Water tank mounting plate","A","1",""
"6","1000300735","expansion tank","A","1",""
"7","1990202279","Turbine rod clamp","A","4","SX9/W4/12-20"
"8","00771407140601110","steam hose II","A","1",""
"9","00771407140601090","Steam hose I","A","1",""
"10","00771407140601050","Hose III","A","1",""
"11","00771407140601070","Outlet pipework","A","1",""
"12","00771407140601040","Hose II","A","1",""
"13","1990202287","spiral turbine rod clamp","A","8","SX12/W3/32-54"
"14","00771407140601080","water supply pipe","A","1",""
"15","1990202281","Turbine rod clamp","A","2","SX9/W4/20-32"
"16","00771407140601030","Hose I","A","1",""
"17","00771407140601060","return pipe","A","1",""
"18","00771607110601020","Hose IV","A","1",""
"19","1000300984","radiator assembly","B","1",""
"20","00771407140601150","Bending plate II","A","1",""
"21","00773407130601210","sponge bar","A","1",""
"22","1040002262","bolt","B","4","GB/T5783-2000"
"23","1040301031","washer","B","8","GB/T96.1-2002"
"24","00771407100601170","base plate","A","6",""
"25","1040200170","nut","A","4","GB/T889-1986"
"26","1040200503","nut","A","18","GB/T889.1-2000"
"27","1040301735","washer","A","33","GB/T97.1-2002"
"28","00771407140601140","Bending plate I","A","1",""
"29","02552007110601010","Wind screen","A","1",""
"30","00771607110601180","plate I","C","2",""
"31","00771607110601200","plate III","B","1",""
"32","00771607110601190","Plate II","B","1",""
