"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","1040008726","Connecting bolt","A","3",""
"2","1040304247","Locking gasket","A","3",""
"3","1040201869","nut","A","3",""
"4","1081011998","O-ring","A","3",""
"5","1081011999","O-ring","A","1",""
"6","1140109817","Hexagonal socket head plug","A","3",""
"7","1040008726(2)","Hexagonal socket head plug(E-shape
ring)","A","1",""
"8","1019815295","Safety valve","A","1",""
"9","1019810808","Plug","A","3",""
"10","1019815296","Solenoid switch valve","A","1",""
"11","1010310438","Safety valve","A","1",""
