"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","02551702820200000","frame weldment","C","1",""
"7","1040005848","bolt","A","8","GB/T5783-2000"
"8","1040301511","washer","A","8","GB/T97.1-2002"
"9","00771402801210000","Split type float cylinder","B","2",""
"10","02551702810400000","Front axle weldment","B","1",""
"11","00771402800001070","spacer","A","1",""
"12","00771402800001130","Self-lubricating bearing","A","2",""
"13","00771402850001030","pin","B","1",""
"14","1040004499","bolt","A","1","GB/T5783-2000"
"15","00773400400001170","stop pin","E","1",""
"16","1040102737","screw","A","4","GB/T70.1-2000"
"17","00771402820001120","block","A","2",""
