"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","1019813241(3)","Proportional battery valve","A","1",""
"2","1019815314","Valve core","A","1",""
"3","1019815316(2)","Spring seat","A","2",""
"4","1019815302(3)","spring","A","2",""
"5","1081012004","O-ring","A","1",""
"6","1019815392","Plug","A","1",""
"7","1081011999(4)","O-ring","A","1",""
"8","1081011998(4)","O-ring","A","3",""
"9","1019815303(3)","Compensating spool","A","1",""
"10","1019815391(3)","Plug","A","1",""
"11","1081012001(3)","O-ring","A","1",""
"12","1019815304(3)","Check valve","A","2",""
"13","1140104958","Hexagonal socket head plug(E-shape
ring)","A","1",""
"14","1040101237","Hex socket cap screw","A","2",""
