"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"8","1040004499","bolt","A","3","GB/T5783-2000"
"11","00773400400001170","stop pin","E","2",""
"38","1040302489","washer","B","12","GB/T97.1-2002"
"39","1040301502","washer","A","5","GB/T93-1987"
"49","02552000810400000","Turntable counterweight","C","1",""
"50","1040301521","washer","A","8","GB/T1230-1991"
"51","1040004530","bolt","A","8","GB/T1228-1991"
"52","1040302483","washer","B","8","GB/T96.1-2002"
"53","02552000810001110","Support block","B","1",""
"54","1040007221","bolt","A","2","GB/T5782-2000"
"55","1040302480","washer","B","6","GB/T96.1-2002"
"56","1040004518","bolt","A","5","GB/T5783-2000"
"57","02552000810001080","Master valve tray","A","1",""
"59","1040201882","nut","A","1","GB/T6172-2000"
"60","1040002450","bolt","A","1","GB/T5783-2000"
"61","02552000810001050","pin","A","1",""
"62","00771900820001270","Pressing rod","A","2",""
"63","02552000810001040","pull rod","A","4",""
"64","1040200504","nut","A","6","GB/T889.1-2000"
