"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"18","1040301515","washer","A","44","GB/T97.1-2002"
"19","1040200503","nut","A","4","GB/T889.1-2000"
"20","1040002434","bolt","A","4","GB/T5783-2016"
"21","00771402850001210","Fixed ring","A","2",""
"22","1040302489","washer","B","6","GB/T97.1-2002"
"23","1040004653","bolt","A","8","GB/T5783-2000"
"24","00771402840001260","bracket","A","2",""
"25","1040302490","washer","B","8","GB/T97.1-2002"
"26","02551702800001020","cover plate","A","2",""
"27","00771402820001030","pin","C","2",""
"28","02551702800600000","Left steering knuckle","C","1",""
"29","00771402850001050","pin","A","2",""
"30","1040004565","bolt","A","4","GB/T5783-2016"
"31","00771600301001250","stop pin","C","6",""
"32","00771402850001230","lubrication-free bearing","B","2",""
"33","1040004517","bolt","A","54","GB/T5783-2000"
"34","02551702800001040","Bearing stop plate","A","4",""
"35","00771402810001020","Self-lubricating bearing","C","4",""
"36","00771402810001010","spacer","A","4",""
"37","00771402800001230","Self-lubricating bearing","A","4",""
"38","00771402851400000","Steering cylinder","A","2",""
"39","00771402800001020","pin","C","2",""
"40","02551702801000000","Steering link","B","1",""
"41","1040002433","bolt","A","2","GB/T5783-2000"
"42","00771402850001170","Steering pin","B","2",""
"43","02551702800800000","Right steering knuckle","C","1",""
