"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"72","1040002433","bolt","A","18","GB/T5783-2000"
"74","1040302489","washer","B","38","GB/T97.1-2002"
"75","1040002434","bolt","A","10","GB/T5783-2016"
"78","00773400300001150","Adjustable gasket VI","A","12",""
"79","00771100301320000","slider","B","8",""
"80","00773400300001140","Adjustable spacer V","B","30",""
"161","1040001631","bolt","A","9","GB/T5783-2000"
"162","1040300771","washer","A","9","GB/T97.1-2002"
"163","02552000301601021","Side brush plate","A","2",""
"164","02551500301401050","Side pressing plate","A","2",""
"165","00771600301615010","Upper pressing plate","A","1",""
"166","02552000301601011","Upper brush plate","A","1",""
"167","02552000301610000","slider","A","2",""
"168","00773400300001131","adjustable spacer(2mm)","A","6",""
"169","00771100301310000","slider","B","2",""
