"Item","Part No.","Description","Qty."
"29","00000220","8902-10080  Pin","3"
"30","00002877","Bolt  QC/T 340  M10×35","2"
"31","10000251","Sensor cover (JCPT0808HD/DC-CE)","1"
"32","00000695","Angle sensor (JCPT0808HD/DC-CE)","1"
"33","00001054","Screw  GB/T 70.1  M4×12 (JCPT0808HD/DC-CE)","2"
"34","00000779","Washer  GB/T 93  4 (JCPT0808HD/DC-CE)","2"
"35","00000778","Washer  GB/T 97.1  4 (JCPT0808HD/DC-CE)","2"
"36","10000261","Line bridge","2"
"37","10000260","Safety arm bushing","2"
"38","00002887","Bolt  QC/T 340  M10×25","3"
"39","10000259","Safety arm","2"
"40","00000565","898-38.1×198.5  Pin","2"
"41","10000258","Collar","2"
"42","00000822","Screw  GB/T 70.3  M5×16","2"
