"Item","Part No.","Description","Qty."
"42","00000778","Washer  GB/T 97.1  4 (JCPT1412HD/DC-CE, 
JCPT1612HD/DC-CE)","2"
"43","","Lower lift cylinder assembly (without seal kit) (refer to 
401.1)","1"
"44","10000260","Safety arm bushing","4"
"45","10000259","Safety arm","4"
"46","00002887","Bolt  QC/T 340  M10×25","6"
"47","10000286","Inner arm 3 (JCPT1412HD/DC)","1"
"","10000762","Inner arm 3 (JCPT1612HD/DC, JCPT1614HD/DC)","1"
"48","","Upper lift cylinder assembly (without seal kit) (refer to 
402.1)","1"
"49","10000291","Inner arm 4 (JCPT1412HD/DC)","1"
"","10000766","Inner arm 4 (JCPT1612HD/DC, JCPT1614HD/DC)","1"
"50","10000285","Outer arm (JCPT1412HD/DC)","3"
"","10000758","Outer arm 2-3 (JCPT1612HD/DC, JCPT1614HD/DC)","3"
"51","10000735","Inner arm 3 (JCPT1412HD/DC)","1"
"","10000765","Inner arm 5 (JCPT1612HD/DC, JCPT1614HD/DC)","1"
"52","10000736","Outer arm 3 (JCPT1412HD/DC)","1"
"","10000760","Outer arm 5 (JCPT1612HD/DC, JCPT1614HD/DC)","1"
"53","10000264","Block","40"
"54","10000044","Line bridge (JCPT1412HD/DC)","2"
"","10000771","Line bridge (JCPT1612HD/DC, JCPT1614HD/DC)","2"
"55","00002098","896B-38.1×146  Pin","4"
