"Item","Part No.","Description","Qty."
"1","00002280","Hose assembly (JCPT0808DC, JCPT1008DC)","1"
"","00002189","Hose assembly (JCPT1012DC)","1"
"2","00002281","Hose assembly (JCPT0808DC, JCPT1008DC)","1"
"","00002190","Hose assembly (JCPT1012DC)","1"
"3","00002192","Hose assembly","1"
"4","00002276","Hose assembly","1"
"5","00002194","Hose assembly","1"
"6","00002277","Hose assembly","1"
"7","00002196","Hose assembly","1"
"8","00001282","Straight fitting","4"
"9","00001264","Straight fitting","3"
"10","00001291","Straight fitting","1"
"11","00001776","Straight fitting","2"
"12","00001508","Straight fitting","2"
"13","00001292","Straight fitting","1"
"14","10000466","Fitting","1"
"15","00001835","Elbow","4"
"16","00001073","Plug  VSTI14×1.5ED","2"
