"Item","Part No.","Description","Qty."
"1","09340001","Decal, Notice-Keep the manual with the machine","1"
"2","09440003","Decal, Danger-Tip-over hazard, tilt-alarm","1"
"3","09440001","Decal, Danger-General safety rules","1"
"4","09340003","Decal,  Instructions-Refer  the  operator  to  the  instructions 
for use","2"
"5","09440070","Decal, Label-Capacity 230kg (JCPT0608DCS)","1"
"","09440014","Decal, Label-Capacity 230kg (JCPT0708DCS)","1"
"6","09440005","Decal, Warning-Use indoors only (JCPT0708DCS)","1"
"7","09310001","Decal, Instructions-Forklift pockets","2"
"8","09310003","Decal, Instructions-Tie down point","4"
"9","09310002","Decal, Instructions-Lift point","4"
"10","09310296","Decal, Instructions-Maximum wheel load 500kg 
(JCPT0608DCS)","4"
"","09310031","Decal, Instructions-Maximum wheel load 570kg 
(JCPT0708DCS)","4"
"11","09310004","Decal, Instructions-Emergency lower","1"
"12","09310034","Decal, Notice-Main power switch operation","1"
"13","09330001","Decal, Instructions-Safety arm","2"
"14","09440007","Decal, Caution-Max. manual force 400N","2"
"15","09640189","Decal, Cosmetic-JCPT0608DCS (JCPT0608DCS)","2"
"","09640009","Decal, Cosmetic-JCPT0708DCS (JCPT0708DCS)","2"
"16","09440011","Decal, Label-Lanyard anchorage point","3"
"17","09540001","Decal, Label-CE","1"
"18","09410001","Decal, Danger-Explosion/burn hazard","1"
"19","09410003","Decal, Warning-Inspected and operation properly","1"
