"Item","Part No.","Description","Qty."
"1","00002951","ECU harness","1"
"2","00008572","Platform control box patch cord harness","1"
"3","00006825","Pothole Limit switch harness","1"
"4","00006928","Sensor harness","1"
"5","00008697","Platform control box harness (JCPT0608DCS)","1"
"","00008377","Platform control box harness (JCPT0708DCS)","1"
"6","00008696","Lowering valve harness (JCPT0608DCS)","1"
"","00008571","Lowering valve harness (JCPT0708DCS)","1"
"7","00008064","Pressure sensor harness (matching with 00007393 
pressure sensor)","1"
"","00008379","Pressure sensor harness (matching with 00000696 
pressure sensor)","1"
"8","00009071","Drive motor harness","1"
"9","00002960","Pump motor positive harness","1"
"10","00002959","Pump motor negative harness","1"
"11","00002958","Motor controller harness","1"
"12","00002956","DC contactor harness","1"
"13","00002957","Fuse harness","1"
"14","00002961","Battery positive harness","1"
"15","00002955","Battery harness","1"
"16","00002655","Battery negative harness","1"
"17","","Ground control assembly (refer to 107.1)","1"
"18","00002419","Limit switch, pothole","2"
"19","00000740","Beacon","1"
"20","00000694","Tilt sensor","1"
"21","00000644","Rotary Sensor","1"
"22","00000706","Platform control box assembly","1"
"23","00007346","Coil","1"
"24","00003018","Coil","1"
