"Item","Part No.","Description","Qty."
"29","10001405","Pin","1"
"30","10000425","Hydraulic hoses manifolds","1"
"31","10005753","Hose (to upper lift cylinder)","1"
"32","10005752","Hose (to lower lift cylinder)","1"
"33","10002367","Hose (to hydraulic tank)","1"
"34","10000264","Block","40"
"35","","Lower lift cylinder assembly (without seal kit) (refer to 
401.1)","1"
"36","00000584","895-25135  Pin","2"
"37","00000822","Screw  GB/T 70.3  M5×16","3"
"38","10011776","Collar","3"
"39","10002301","Inner arm 3","1"
"40","10002305","Outer arm 2","6"
"41","00002864","Bolt  QC/T 340  M6×16","3"
"42","00000217","8902-06045  Pin","3"
"43","00002938","895-25145  Pin","1"
"44","10004338","Inner arm 4","1"
"45","00000369","8812-252825  Bearing","64"
"46","10002306","Inner arm 5","1"
"47","00000562","899-25516  Pin","1"
"48","10002328","Outer arm 5","1"
