"Item","Part Number","Description","Qty.","Remark"
"30","90003092","Check Valve","1",""
"31","50003286","Hose Assembly","1",""
"32","00007393","Sensor, Pressure","1",""
"33","00001499","Fitting, Straight","4",""
"34","00001316","Fitting, Straight","2",""
"35","50014110","Hose Assembly","1",""
"36","50006490","Hose Assembly","1",""
"37","50003486","Hose Assembly","1",""
"38","50014111","Hose Assembly","1",""
"39","00001501","Fitting, Straight","2",""
"40","00001314","Fitting, Straight","2",""
"41","50008464","Hose Assembly","1",""
"42","00001504","Fitting, Straight","1",""
"43","00002071","Fitting, Straight","3",""
"44","10000069","Tube, return","1",""
"45","00001115","Plug","1",""
"46","00001114","Plug","2",""
"47","00010258","Fitting, Straight","1",""
"48","50008462","Hose Assembly","1",""
"49","00001726","Fitting, Straight","3",""
"50","50009321","Hose Assembly","1",""
"51","00006489","Fitting, 45°","2",""
"52","92048842","Fitting, Straight, Customized","2",""
"53","00001242","Fitting,    Tee","1",""
"54","00003844","Fitting, Straight","1",""
"55","50008456","Hose Assembly","1",""
"56","00001264","Fitting, Straight","3",""
"57","50009320","Hose Assembly","1",""
"58","90003092","Check Valve","1",""
