"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","02552500300200000","First boom section weldment","B","1",""
"109","1040300771","Washer","A","17","GB/T97.1-2002"
"110","1040302489","Washer","B","18","GB/T97.1-2002"
"111","1040002434","Bolt","A","18","GB/T5783-2016"
"112","00773400300001140","Adjustable spacer V","B","16",""
"113","00773400300001131","Adjustable spacer(2mm)","A","6",""
"114","00773400300001150","Adjustable gasket VI","A","8",""
"115","00771100301310000","Slider","B","6",""
"116","02552300301201060","Lower pressing plate","A","1",""
"117","02552300301201010","Upper brush plate","A","1",""
"118","02552500301201050","Side brush plate II","A","1",""
"119","02552500301201020","Side brush plate I","A","1",""
"120","02552500301201070","Side pressing plate","A","2",""
"121","02552500301210000","Slider","A","2",""
"122","1040001631","Bolt","A","17","GB/T5783-2000"
"123","00771600301215010","Upper pressing plate","A","1",""
"124","02552000301201030","Lower dust brush plate I","A","2",""
"125","02552300301201040","Lower brush plate","A","1",""
