"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","1140300073","Hose assembly","A","2",""
"2","1140255814","Hose assembly","A","1",""
"3","1140250685","Hose assembly","A","2",""
"4","1140250690","Hose assembly","A","1",""
"5","1140227124","Hose assembly","A","1",""
"6","1140207222","Hose assembly","A","1",""
"7","1140300074","Hose assembly","A","2",""
"8","1140227123","Hose assembly","A","1",""
"9","1140257199(2)","Hose assembly","A","1",""
"10","1140254401","Hose assembly","A","1",""
"11","1140245728","Hose assembly","A","1",""
"12","1140212612","Hose assembly","A","1",""
"13","1140232591","Hose assembly","A","1",""
"14","1140228796","Hose assembly","A","2",""
"15","1140226413","Hose assembly","A","1",""
"16","1140245879","Hose assembly","A","1",""
"17","1140226672","Hose assembly","A","1",""
"18","1140216945","Hose assembly","A","2",""
