"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"3","1040302489","Washer","B","26","GB/T97.1-2002"
"12","1040303581","Washer","A","12","GB/T96.1-2002"
"14","1040202856","Nut","A","14","GB/T889.1-2000"
"39","00771600800001180","Seal plate connecting plate III","C","4",""
"40","1040300735","Washer","A","4","GB/T96.1-2002"
"41","1040002738","Bolt","A","4","GB/T5783-2000"
"42","1040004518","Bolt","A","3","GB/T5783-2000"
"43","1040301515","Washer","A","11","GB/T97.1-2002"
"44","1040004520","Bolt","A","2","GB/T5783-2000"
"45","02551500810001010","Power switch mount bracket","A","1",""
"46","1040200503","Nut","A","2","GB/T889.1-2000"
"47","00771600810001090","Pressing plate","A","2",""
"48","02552500810001060","Battery rubber pad","A","2",""
"49","00771600800001251","Pull rod II","B","4",""
"50","1040004516","Bolt","A","4","GB/T5783-2000"
"51","00771600800001050","Emergency motor pump mount
bracket","C","1",""
