"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","1039814383","Output gear","A","1","JH3-01H"
"2","1039814384","Bearing seat","A","2","JH150.6-02D"
"3","1039814385","Magnetic plug","A","1","LS-M18-01A Dacro"
"4","1039814238","Seal ring","A","2","LS-M18-02A"
"5","1039814386","Primary planet carrier","A","1","JH150.36-11"
"6","1039814387","Primary planetary gear","A","1","JH150.36-12"
"7","1039814388","Kinpin bearing","A","1","B-223226"
"8","1040304507","Shaft ring","A","1","GB894.1-86"
"9","1039814389","Primary center wheel","A","1","JH150.36-13"
"10","1039814390","Secondary planet carrier","A","1","JH150.36-21"
"11","1039814391","Full needle roller bearing","A","1","B-223212"
"12","1039814392","Secondary planetary gear","A","1","JH150.36-22"
"13","1039814393","Secondary center wheel","A","1","JH150.36-23"
"14","1081013804","O-ring","A","1","GB 3452.1-82"
"15","1039814394","Compound gasket","A","1","JB/T 982"
"16","1039814395","Hexagonal socket head plug","A","1","JB/ZQ4444-1997 
Dacro"
"17","1039814396","Piston housing","A","1","JH150.36-61"
"18","1081013805","O-ring","A","1","GB 3452.1-82"
"19","1039814397","Rubber retaining ring","A","1","8-240(Barab)"
"20","1039814398","Piston","A","1","JX3-62"
"21","1039814399","Input flange","A","1","JH2-102"
"22","1081201960","Vent plug (ED ring)","A","1","JC1300-M12*1.5"
"23","1040105244","Hex socket cap screw","A","1","GB70-85"
"24","1040304508","Spring washer","A","1","GB93-87"
"25","1081013806","O-ring","A","1","GB 3452.1-82"
"26","1081013807","O-ring","A","1","GB 3452.1-82"
"27","1039814400","Coupling shaft","A","1","JH5-101P"
"28","1039814401","Rubber retaining ring","A","1","8-237(Barab)"
"29","1081013808","O-ring","A","1","GB 3452.1-82"
"30","1039814402","Brake spring","A","1","ZD-06A"
"32","1039814403","Brake adjustment washer","A","1","JQ9-33-72"
"33","1039814404","Stator","A","1","DM-287"
"34","1039814405","Rotor","A","1","DM-288"
"35","1040009091","Outer hex bolt","A","1","GB5780-86"
"36","1039814406","Gear ring","A","1","JH150.36-51"
