"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"9","1040302489","Washer","B","64","GB/T97.1-2002"
"13","00772102800600000","Protective hood","A","4",""
"14","1040100857","Screw","A","17","GB/T70.1-2008"
"15","00771602800001200","Cover plate","A","4",""
"16","00771602800001180","Sensor mounting seat","B","4",""
"17","1040002434","Bolt","A","48","GB/T5783-2016"
"18","1040002555","Bolt","A","20","GB/T5783-2000"
"19","00771602800001190","Clapboard","A","4",""
"20","1040300771","Washer","A","20","GB/T97.1-2002"
"21","00771602800001470","Lubrication-free bearing IV","A","8",""
"22","02552502800001080","Steering upper main pin","A","4",""
"23","00771602800001020","Wear-resistant plate","B","8",""
"24","02552502800001100","Adjustable pad","A","4",""
"25","00771602800001160","Axle end plate","A","4",""
"26","02552502801000000","Steering frame weld","A","2",""
"27","00771202800001290","Cover plate","B","4",""
"28","00771202800001280","Pin","C","4",""
"29","1040002446","Bolt","A","12","GB/T5783-2000"
"30","00773400400001250","Stop pin","E","12",""
"31","1040004511","Bolt","A","4","GB/T5783-2000"
"32","00773400300001070","Bearing","A","8",""
"33","00773400200001070","Stop pin","F","4",""
"34","02552502800001070","Pin VI","A","4",""
"35","00771602800001080","Steering cylinder pin","C","4",""
"36","00771602800001450","Steering cylinder bush","B","4",""
"37","00771602800001330","Lubrication-free bearing I","A","4",""
"38","02552502801600000","Steering cylinder","A","4",""
"39","02552502800800000","Steering frame weld","A","2",""
