"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","1000001002","Diesel oil engine","A","1","V2607-CR-TIE5B-
ZML-1"
"2","1040003912","Bolt","A","4","GB/T5783-2000"
"3","1040302492","Washer","B","4","GB/T97.1-2002"
"4","02562307100201040","Bending plate IV","A","1",""
"5","02562307100201030","Bending plate III","A","1",""
"6","1040302490","Washer","B","16","GB/T97.1-2002"
"7","1040002273","Bolt","B","16","GB/T5786-2000"
"8","1040004518","Bolt","A","4","GB/T5783-2000"
"9","1040301515","Washer","A","4","GB/T97.1-2002"
"10","00772107120201060","ECU mounting plate","A","1",""
"11","1040201896","Nut","A","4","GB/T889.1-2015"
"12","1000002231","ECU","A","1",""
"13","1040300771","Washer","A","4","GB/T97.1-2002"
"14","1040100105","Screw","B","4","GB/T70.1-2000"
"15","1009900942","Engine shock absorber","A","8","07Y-03-10000A-
1150"
"16","1040200161","Nut","A","4","GB/T889-1986"
"17","00773407100201050","Base plate","A","4",""
"18","02552307140210001","Engine tray","B","1",""
"19","02562307100201020","Bending plate II","A","1",""
"20","02562307100201010","Bending plate I","A","1",""
"21","1040101492","Screw","A","12","GB/T70.1-2000"
"22","00771407140201070","Coupler","A","1",""
"23","1040101692","Bolt","B","8","GB/T5786-2000"
"24","1030400480","Elastic coupler assembly","B","1","714368-1"
