"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","00772702800001140","Stroke switch trigger plate","A","1",""
"2","1040004604","Bolt","A","2","GB/T16674-2004"
"3","1040201907","Hexagon nut with flange","A","40","GB/T6177.2-2016"
"4","1030801385","Tire","A","2",""
"5","1030202306","Traveling reducer","A","4","Optional"
"5","1030202755","Traveling reducer","A","4","Standard"
"6","1040101980","Screw","A","72","GB/T70.1-2000"
"7","1030801384","Tire","A","2",""
"8","1040103440","Screw","A","8","GB/T70.1-2000"
"9","1040302489","Washer","B","64","GB/T97.1-2002"
"10","02552502800001180","Sensor hood","A","4",""
"11","00772702800001150","Seal plate I","A","2",""
"12","1040005831","Bolt","A","24","GB/T5789-1986"
