"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","1019809038","Flow distributing and collecting valve","A","2",""
"2","1019809041","Damp","A","4",""
"3","1019809043(2)","Damp","A","1",""
"4","1010310789","Check valve","A","6",""
"5","1010306318","Flush valve","A","1",""
"6","1010306840","Overflow valve","A","1",""
"7","1019809040","Shuttle valve","A","3",""
"8","1010310790","Glue resistant iron plug","A","10",""
"9","1010310791","Glue resistant iron plug","A","10",""
"10","1010310792","Glue resistant iron plug","A","10",""
"11","1010310793","Glue resistant iron plug","A","6",""
"12","1019809044","Damp","A","5",""
