"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"10","1040303580","Washer","A","108","GB/T96.1-2002"
"11","1040301510","Washer","A","56","GB/T93-1987"
"12","1040201089","Nut","A","52","GB/T6170-2000"
"13","1040004678","Knob bolt","A","6","M10×70"
"14","1040202856","Nut","A","20","GB/T889.1-2000"
"15","1040303581","Washer","A","22","GB/T96.1-2002"
"20","00771401112801021","Round steel","A","2",""
"21","00771401112801040","Bending plate","A","2",""
"22","1040004507","Bolt","A","4","GB/T5783-2000"
"23","1040302512","Washer","A","8","GB/T96.1-2002"
"24","1040200504","Nut","A","4","GB/T889.1-2000"
"25","02551501100001090","Mounting bracket","A","1",""
"26","1040004520","Bolt","A","27","GB/T5783-2000"
