"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","00773407000201061","Refuel as instruction","A","2",""
"14","00773407000201241","No hoisting","A","8",""
"16","02552507000411010","ZT138J-ZT24JE-V Turntable Decal
Assembly","A","1",""
"17","00773407000401271","No water washing","A","3",""
"18","00771407000401151","Diesel oil tank","A","2",""
"20","00773407000401561","Tilting hazard III","A","4",""
"21","00773407000401371","Explosion hazard I","A","2",""
"26","00773407000201421","Binding point","A","8",""
"27","00773407000201431","Lifting point","A","6",""
"29","00773407010401021","Hand pinch hazard","A","2",""
"32","00771607000401011","Wheel load","A","4",""
"33","02552507000411040","ZT138J-VTilting hazard","B","2",""
"37","00771407000201080","Blue arrow","A","8",""
"38","00771407000201090","Yellow arrow","A","8",""
"41","00771407000201120","Zoomlion LOGO I","A","2",""
"42","00771407000201130","Zoomlion LOGO II","A","2",""
"43","02552507000411030","ZT138J-V Model label on Boom","A","1",""
"46","02551707000401070","Turntable caution label","A","1",""
"47","00775607000401321","Uninsulation label","A","2",""
"48","00771407000401191","QR code","A","1",""
"49","00771407000201250","Noise label","A","1",""
"50","00771407030401120","DANGER-No unauthorized
disassembly","A","2",""
"52","00771407030401130","No disassembly(Medium)","A","5",""
"53","00771407030201140","No disassembly","A","5",""
"54","00764307000401170","Rotary bearing -add grease regularly","A","1",""
"55","00764307000401190","Add grease regularly","A","1",""
"56","00771407000401201","Fuel adding label","A","1",""
"61","02551507010401050","Regeneration high temperature
warning label","A","1",""
