"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","00772100200001010","Pin I","A","5",""
"2","00773400200001070","Stop pin","E","7",""
"3","1040004511","Bolt","A","7","GB/T5783-2000"
"6","00772100200200000","Upper link","C","1",""
"13","00772100200800000","Jib lifting cylinder","B","1",""
"14","00772100200400000","Lower link","E","1",""
"21","1010202384","Rotary actuator","A","1","LS2-042-190-
QMAJC(G2
202700)V3"
"27","00772100200600001","Seat II","C","1",""
"30","1040300735","Washer","A","8","GB/T96.1-2002"
"31","00772100200001070","Stroke switch mount block I","B","1",""
"32","1040102372","Hex socket cap screw","A","4","GB/T70.1-2000"
"33","00772100200001090","Switch protective hood","A","1",""
"34","1040102598","Screw","B","4","GB/T70.1-2000"
"35","00772100200001080","Stroke switch mount block II","B","1",""
