"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"9","1040004519","Bolt","A","27","GB/T5783-2000"
"10","1040303580","Washer","A","108","GB/T96.1-2002"
"11","1040301510","Washer","A","56","GB/T93-1987"
"12","1040201089","Nut","A","52","GB/T6170-2000"
"26","1040004520","Bolt","A","27","GB/T5783-2000"
"30","1040200503","Nut","A","2","GB/T889.1-2000"
"31","1040302480","Washer","B","4","GB/T96.1-2002"
"32","02552501100001070","Battery weather shield","A","1",""
"33","02552501120001020","Seal plate II","B","1",""
"34","02552301130200000","Left hood bracket II","A","2",""
"35","00771401141000001","Hinge","B","5",""
"36","1110100302","Gas spring","A","4",""
"37","1040202858","Nut","A","10","GB/T889.1-2000"
"38","1040302513","Washer","A","10","GB/T96.1-2002"
"39","00771401110001030","Pressing plate","B","5",""
