"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"4","02552500300600000","Third-section boom attachment","B","1",""
"67","00771100301601071","Adjustable spacer","A","4",""
"68","02552500301490000","Slider","A","2",""
"69","00771100301601061","Adjustable spacer","A","2",""
"70","1040302489","Washer","B","38","GB/T97.1-2002"
"71","1040002433","Bolt","A","22","GB/T5783-2000"
"72","00773400300001150","Adjustable gasket VI","A","12",""
"73","1040004565","Bolt","A","6","GB/T5783-2016"
"74","00772102801800000","Slider","B","2",""
"75","00773400300001140","Adjustable spacer V","B","26",""
"76","1040002434","Bolt","A","10","GB/T5783-2016"
"77","02551500301401100","Adjustable spacer(5mm)","A","2",""
"78","00771100301310000","Slider","B","8",""
"79","02551500301210000","Slider","A","2",""
