"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"5","02552500300800000","Fourth-section boom weldment","B","1",""
"172","00772100302000000","Leveling cylinder","A","1",""
"173","00772100300001090","Lubrication-free bearing","A","4",""
"174","00772100300001030","Barrel bushing","A","1",""
"175","02552500302000000","Leveling cylinder pin","A","1",""
"176","1040004511","Bolt","A","1","GB/T5783-2000"
"177","02552500300001030","Jib connectiong pin","A","1",""
"178","00773400200001070","Stop pin","F","1",""
"179","1040002434","Bolt","A","1","GB/T5783-2016"
"180","1040302512","Washer","A","1","GB/T96.1-2002"
