"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"36","1019820210","Hex sunk screw","A","2",""
"37","1019820211","Bush","A","2",""
"38","1019820212","Shaft","A","1",""
"39","1019820213","STD seal","A","2",""
"40","1019820214","O-ring and check ring","A","1",""
"41","1019820215","PTB primary seal","A","2",""
"42","1019820216","Piston outer seal","A","1",""
"43","1019820217","Piston inner seal","A","1",""
"44","1019820218","Guide belt","A","2",""
"45","1019820219","Thrust washer","A","2",""
"46","1019820220","Cylinder components","A","1",""
"47","1019820221","Balance valve","A","1",""
"48","1019820222","Piston","A","1",""
"49","1019820223","Terminal cover","A","1",""
"50","1019820224","Internal thread cylindrical pin","A","4",""
"51","1019820225","Internal hexagonal plug","A","2",""
"52","1019820226","Hex socket cap screw","A","6",""
"53","1019820227","Internal hexagonal plug","A","6",""
"54","1019820228","Set screw","A","4",""
