"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","00771600700001131","Pressing plate","A","3",""
"2","1040302489","Washer","B","49","GB/T97.1-2002"
"9","1040200504","Nut","A","23","GB/T889.1-2000"
"11","02552300710001020","Pipeline pressing block I","A","8",""
"12","1040004656","Bolt","A","3","GB/T5782-2000"
"13","1040103375","Screw","A","16","GB/T70.2-2000"
"15","00771100750200000","Wiring duct- lower cover","B","6",""
"16","1040302480","Washer","B","24","GB/T96.1-2002"
"17","1040002458","Bolt","A","24","GB/T5783-2000"
"18","1040002433","Bolt","A","23","GB/T5783-2000"
"19","1040303581","Washer","A","13","GB/T96.1-2002"
"20","1040301515","Washer","A","20","GB/T97.1-2002"
"21","02552500700400000","Long chain tube","A","1",""
"22","00771100750001050","Wiring duct- upper cover","B","6",""
"40","1040103114","Screw","A","4","GB/T70.1-2000"
"41","02552300710001050","Pipeline pressing block IV","A","4",""
"42","00772100702201010","Long steel chain","B","1","标配，可与
007721007012000
00互换"
"42","00772100701200000","Long steel chain","C","1","选配，可与
007721007022010
10互换"
"43","02552500701600000","Tail bracket","C","1",""
"44","02552500701000000","Chain bracket","A","1",""
