"Item","Part Number","Description","Qty.","Remark"
"1","","Left Hub Assembly (Refer to 1-2)","1",""
"2","50000921","Pin, Pivot","4",""
"3","50000926","Tie-Rod","2",""
"4","00001257","Nut  GB/T 6182  M16","4",""
"5","00000997","Flat Washer  GB/T 97.1  16","4",""
"6","","Steer Cylinder Assembly (Refer to 5-1)","1",""
"7","00002045","Bolt  GB/T 5783  M12 × 120","4",""
"8","00000815","Spring Washer  GB/T 93  12","4",""
"9","00000814","Flat Washer  GB/T 97.1  12","4",""
"10","50000889","Chassis","1","BA16NE"
"","50001034","Chassis","1","BA18NE"
"11","","Right Hub Assembly (Refer to 1-3)","1",""
"12","50003107","Bracket, Supporting Rotary Sensor","1",""
"13","00001189","Screw  GB/T 70.2  M8×25","6",""
"14","00000644","Sensor, Rotary","1",""
"15","00001826","M16 Clamp","1",""
"16","00001214","Screw  GB/T 70.2  M4×10","2",""
"17","50003109","Shield, Rotary Sensor","1",""
