"Item","Part Number","Description","Qty.","Remark"
"1","50003637","Hose Assembly","2",""
"2","00001834","Fitting, 90°","2",""
"3","00001774","Fitting, Straight","2",""
"4","00001291","Fitting, Straight","19",""
"5","00001833","Fitting, 90°","18",""
"6","50007550","Hose Assembly","1","BA16NE"
"","50007561","Hose Assembly","1","BA18NE"
"7","00001290","Fitting, Straight","5",""
"8","50007556","Hose Assembly","2","BA16NE"
"","50007563","Hose Assembly","2","BA18NE"
"9","00002136","Fitting, Straight","4",""
"10","50003656","Hose Assembly","1",""
"11","50003655","Hose Assembly","1",""
"12","00002119","Fitting, Tee","3",""
"13","00001292","Fitting, Straight","6",""
"14","50007548","Hose Assembly","2","BA16NE"
"","50007559","Hose Assembly","2","BA18NE"
"15","50003657","Hose Assembly","1","BA16NE"
"","50004907","Hose Assembly","1","BA18NE"
"16","50007554","Hose Assembly","1","BA16NE"
"","50004908","Hose Assembly","1","BA18NE"
"17","50007553","Hose Assembly","1","BA16NE"
"","50004906","Hose Assembly","1","BA18NE"
"18","50003640","Hose Assembly","1",""
"19","50003641","Hose Assembly","1",""
"20","50003642","Hose Assembly","1",""
"21","50003639","Hose Assembly","1",""
"22","50007552","Hose Assembly","2","BA16NE"
"","50005799","Hose Assembly","2","BA18NE"
