"Item","Part Number","Description","Qty.","Remark"
"1","00001163","Nut  GB/T 6182  M8","4",""
"2","00000608","Flat Washer  GB/T 97.1  8","4",""
"3","00000619","Bolt  GB/T 5783  M6 × 25","6",""
"4","00000621","Spring Washer  GB/T 93  6","14",""
"5","00002583","Flat Washer  GB/T 96.1  6","20",""
"6","50000996","Hinge 2","2",""
"7","50000870","Hinge 1","1",""
"8","00001033","Nut  GB/T 6182  M6","6",""
"9","00001026","Bolt  GB/T 5782  M8 × 80","2",""
"10","00000745","Bolt  GB/T 5783  M6 × 12","8",""
"11","00000683","Bolt  GB/T 5783  M10 × 30","8",""
"12","00000679","Spring Washer  GB/T 93  10","8",""
"13","00001028","Flat Washer  GB/T 96.1  10","8",""
"14","50000857","Plate, Bracket","1",""
"15","50000872","Hinge 1","1",""
"16","50000864","Wallboard, Right","1",""
"17","50000861","Wallboard, Right","1",""
"18","50000859","Plate, Bracket","1",""
"19","00000993","Bolt  GB/T 5783  M8 × 25","4",""
"20","00000609","Spring Washer  GB/T 93  8","4",""
"21","00002000","Flat Washer  GB/T 96.1  8","6",""
"22","50000863","Plate, Link","1",""
