"Item","Part Number","Description","Qty.","Remark"
"1","00002062","Screw  GB/T 70  M8 × 35","4",""
"2","00010023","Releasing Manifold (Refer to 2-3)","1",""
"3","00001977","Synchronous Manifold Assembly (Refer to 
2-4)","1",""
"4","00000993","Bolt  GB/T 5783  M8 × 25","7",""
"5","00000609","Spring Washer  GB/T 93  8","7",""
"6","00000608","Flat Washer  GB/T 97.1  8","2",""
"7","00002055","Bolt  GB/T 5789  M16 × 110","23",""
"8","00002212","Horn","1",""
"9","50000969","Plate, Bracket","1",""
"10","00010025","Functional Manifold Assembly (Refer to 
2-5)","1",""
"11","00000683","Bolt  GB/T 5783  M10 × 30","7",""
"12","00000679","Spring Washer  GB/T 93  10","10",""
"13","00000615","Flat Washer  GB/T 97.1  10","6",""
"14","00000678","Bolt  GB/T 5783  M10 × 25","3",""
"15","00002058","Screw  GB/T 70  M10 × 45","2",""
"16","92100049","Washer","2",""
"17","10000041","Plate, Rubber","1",""
"18","00002059","Bolt  GB/T 5783  M12 × 30","4",""
"19","00000815","Spring Washer  GB/T 93  12","4",""
"20","00000814","Flat Washer  GB/T 97.1  12","4",""
"21","50000836","Boom Rest Weldment","1",""
"22","00001236","Nut  GB/T 889.1  M4","4",""
"23","00000778","Flat Washer  GB/T 97.1  4","4",""
"24","00002000","Flat Washer  GB/T 96.1  8","10",""
"25","50000978","Bracket","1",""
"26","00000748","Switch, Limit","1",""
"27","00001235","Screw  GB/T 70  M4 × 35","2",""
"28","00000779","Spring Washer  GB/T 93  4","4",""
