"Item","Part Number","Description","Qty.","Remark"
"1","50000725","Sliding Block","2",""
"2","00000683","Bolt  GB/T 5783  M10 × 30","4",""
"3","00000679","Spring Washer  GB/T 93  10","6",""
"4","00000615","Flat Washer  GB/T 97.1  10","6",""
"5","50000401","Shim","9",""
"6","50000046","Shim","2",""
"7","50000403","Sliding Block","2",""
"8","50000480","Insert","4",""
"9","50000730","Insert","2",""
"10","50000729","Sliding Block","1",""
"11","50000047","Shim","1",""
"12","00000678","Bolt  GB/T 5783  M10 × 25","2",""
