"序号","物料编码","名称及规格","版本","件数","备注"
"12","1040300514","垫圈","A","8","GB/T97.1-2002"
"13","1040001122","螺栓","A","8","GB/T5783-2000"
"14","1020520995","电位计","A","1","DD40HS1ZLG"
"15","1029907663","防水帽","A","1","D-15-PBM-12M"
"16","1029802085","尼龙堵头","A","11","DPK-M12B"
"17","1020521443","摇杆开关","A","1","TN8A_101EY_N_C
H01"
"18","1020522210","急停开关","A","1","TCBT42"
"19","1020520994","手柄","A","1","D10BHD2AK4ZOZ
LG"
"20","1020810958","摇杆开关","A","1","TN8A_108EY_N_C
H01"
"21","1029804205","卡紧螺母","A","11","GMK-M12B"
"22","1990900004","紧急停止标牌","A","1","ZB2BY9330"
"23","1020520993","手柄","A","1","D10AHS2AK2ZOZ
LG"
"24","1029805597","按钮","A","1","PBM-12M11-DS-N-
NNB1S"
"25","1020521445","摇杆开关","A","1","TN8A_107EY_N_C
H01"
"26","1020521444","摇杆开关","A","1","TN8A_103EY_N_C
H01"
"27","1029907958","报警指示灯面板","A","1",""
