"序号","物料编码","名称及规格","版本","件数","备注"
"54","1040302489","垫圈","B","45","GB/T97.1-2002"
"58","00773400300001140","调整垫片Ⅴ","B","10",""
"59","00771400301401080","调整垫片Ⅳ","A","8",""
"60","00771100301320000","滑块","B","8",""
"61","1040002433","螺栓","A","13","GB/T5783-2000"
"110","00771400311141220","上防尘刷板","A","1",""
"111","00771400311141240","上压板","A","2",""
"112","02551700341201020","侧防尘刷","A","2",""
"113","00771400311141250","侧压板","B","2",""
"114","00771400311141230","下防尘刷板","A","1",""
"115","1040300771","垫圈","A","10","GB/T97.1-2002"
"116","1040002555","螺栓","A","10","GB/T5783-2000"
"117","00773400300001130","调整垫片Ⅳ","B","12",""
"118","1040002434","螺栓","A","12","GB/T5783-2016"
"119","00771100301500000","滑块","B","2",""
"120","00771100301310000","滑块","B","2",""
