"序号","物料编码","名称及规格","版本","件数","备注"
"1","1029900396","ITT插座","A","1",""
"2","1020700955","插座护套(四插)","A","1","DT06-4S"
"3","1020700953","插头护套","A","1","DT04-4P"
"4","1029906298","限位开关","A","2","ZCD21+ZCE01+ZC
Y25+ZC DEP16"
"5","00772706200230081","防挤压线束","B","1",""
"6","1020700959","插座护套","A","1","DT06-6S"
"7","1020700957","插头护套(六插)","B","1","DT04-6P"
"8","1029907627","称重传感器","A","1","ZLGJ-4-20MA-1T"
"9","1029804242","插头护套","B","1","DT04-3P"
"10","1029804239","插座护套","B","1","DT06-3S"
"11","1020521022","脚踏开关","A","1","FS-5G-20-C(hole)"
"12","02551706200110010","工作平台电缆束","A","1",""
