"序号","物料编码","名称及规格","版本","件数","备注"
"9","00773400200001070","止动销","F","2",""
"17","1040004517","螺栓","A","10","GB/T5783-2000"
"18","1040301515","垫圈","A","10","GB/T97.1-2002"
"121","02551700321000000","调平油缸销轴","B","1",""
"122","02551700341600000","上调平油缸","A","1",""
"123","1040004518","螺栓","A","1","GB/T5783-2000"
"124","1040302480","垫圈","B","1","GB/T96.1-2002"
"125","00771000300001120","免润滑轴承","A","4",""
"126","00771100301601050","保护板","B","1",""
"127","1040004511","螺栓","A","1","GB/T5783-2000"
"128","02551700340001070","飞臂销轴","A","1",""
