"序号","物料编码","名称及规格","版本","件数","备注"
"1","1040001640","螺栓","A","4","GB/T5783-2000"
"2","1040300771","垫圈","A","6","GB/T97.1-2002"
"3","1040102778","螺钉","A","2","GB/T70.1-2000"
"4","02562300200001030","传感器防护罩II","A","1",""
"5","02562300200001020","接触块I","A","2",""
"6","1040103133","螺钉","A","8","GB/T70.3-2008"
"7","00773700200001090","管线卡槽","A","2",""
"8","02551700200001010","管线护板","A","1",""
"9","1040002433","螺栓","A","6","GB/T5783-2000"
"10","00773400300001200","止动销","F","7",""
"11","1040004033","螺栓","A","2","GB/T5783-2000"
"12","00773400200001010","轴承","C","12",""
"13","00774000200001021","上连杆油缸销轴","B","1",""
"14","00773700200001052","销轴","A","2",""
"15","1040004520","螺栓","A","4","GB/T5783-2000"
"16","1040301515","垫圈","A","4","GB/T97.1-2002"
"17","00773700200001100","管线压板","B","2",""
"18","00771600301001250","止动销","C","1",""
"19","00774000210400004","上连杆","A","1",""
