"序号","物料编码","名称及规格","版本","件数","备注"
"2","1040302512","垫圈","A","9","GB/T96.1-2002"
"3","1040002434","螺栓","A","4","GB/T5783-2016"
"12","1040300771","垫圈","A","6","GB/T97.1-2002"
"15","1040201875","螺母","B","4","GB/T889.1-2000"
"16","00772500800001191","托架垫片I","A","2",""
"17","00771400800001111","调整垫片","A","2",""
"18","00772500800001201","托架垫片II","A","2",""
"19","1040004508","螺栓","A","2","GB/T5783-2000"
"20","00771400800001100","垫块","B","1",""
"21","1040302513","垫圈","A","7","GB/T96.1-2002"
"22","1040004507","螺栓","A","2","GB/T5783-2000"
"23","02551700820001100","折弯板","A","1",""
"24","1040302492","垫圈","B","5","GB/T97.1-2002"
"25","1040002445","螺栓","A","1","GB/T5783-2000"
"26","00771400801800000","插销总成","A","1",""
"27","00771400800001020","自润滑轴承","A","2",""
"28","00773400800001150","摩擦板","A","1",""
"29","00771400800001030","销轴","D","1",""
"30","00773400300001200","止动销","F","1",""
"31","1040302480","垫圈","B","7","GB/T96.1-2002"
"32","02551501120001080","封板连接板","A","7",""
"33","1040004519","螺栓","A","11","GB/T5783-2000"
"34","1040001715","螺栓","A","4","GB/T5783-2000"
"35","02551500820001140","电气管夹","A","2",""
"36","02551500820001150","盖板","A","1",""
"37","1040004518","螺栓","A","3","GB/T5783-2000"
