"序号","物料编码","名称及规格","版本","件数","备注"
"1","1040101492","螺钉","A","12","GB/T70.1-2000"
"2","00773407100201070","联轴器盖","B","1",""
"3","1040101692","螺栓","B","8","GB/T5786-2000"
"4","1030400480","弹性联轴器总成","B","1",""
"5","1000001191","柴油发动机","A","1",""
"6","00771407200201010","弯板Ⅰ","A","1",""
"7","1040302490","垫圈","B","8","GB/T97.1-2002"
"8","1040004653","螺栓","A","8","GB/T5783-2000"
"9","1040302489","垫圈","B","8","GB/T97.1-2002"
"10","1040004584","螺栓","A","8","GB/T5783-2000"
"11","00773407140201060","垫圈","B","8",""
"12","00771407200201030","弯板Ⅲ","A","2",""
"13","02551707130210000","发动机托架","E","1",""
"14","1040200161","螺母","A","4","GB/T889-1986"
"15","00773407100201050","垫板","A","4",""
"16","1009900942","发动机减震器","A","8",""
"17","1040302492","垫圈","B","4","GB/T97.1-2002"
"18","1040003912","螺栓","A","4","GB/T5783-2000"
"19","00771407200201020","弯板Ⅱ","A","1",""
"20","1040004518","螺栓","A","4","GB/T5783-2000"
"21","1040301515","垫圈","A","4","GB/T97.1-2002"
"22","1040201896","螺母","A","4","GB/T889.1-2015"
"23","1040300735","垫圈","A","4","GB/T96.1-2002"
"24","1040004601","螺栓","A","4","GB/T5782-2000"
"25","00771407200201072","ECU安装板","A","1",""
"26","1029907960","ECU","A","1",""
