"序号","物料编码","名称及规格","版本","件数","备注"
"13","1040300771","垫圈","A","9","GB/T97.1-2002"
"15","1040005844","螺栓","A","6","GB/T5783-2000"
"20","1040302492","垫圈","B","4","GB/T97.1-2002"
"25","1040301515","垫圈","A","20","GB/T97.1-2002"
"42","1040302489","垫圈","B","15","GB/T97.1-2002"
"43","1040004519","螺栓","A","15","GB/T5783-2000"
"44","02551700340001061","缩臂钢丝绳","A","2",""
"84","00771600300001041","垫片","A","1",""
"85","00771400340001091","传感器罩板","A","1",""
"86","1040002434","螺栓","A","5","GB/T5783-2016"
"87","02551500300830001","防转管焊件","B","2",""
"88","1040200161","螺母","A","2","GB/T889-1986"
"89","1040201382","螺母","A","2","GB/T6170-2000"
"90","00771400300830000","固定滑轮","A","2",""
