"序号","物料编码","名称及规格","版本","件数","备注"
"1","1040004519","螺栓","A","16","GB/T5783-2000"
"2","1040301735","垫圈","A","35","GB/T97.1-2002"
"3","1040200503","螺母","A","20","GB/T889.1-2000"
"4","00771607110601190","板II","B","1",""
"5","02551707110601010","挡风板","A","1",""
"6","1000300735","膨胀水箱","A","1",""
"7","1040002458","螺栓","A","4","GB/T5783-2000"
"8","1040004518","螺栓","A","3","GB/T5783-2000"
"9","02551707110601020","水箱安装板","A","1",""
"10","00771407200601220","弯板Ⅴ","A","1",""
"11","1990202279","涡轮涡杆卡箍","A","4","SX9/W4/12-20"
"12","00771407200601090","蒸汽胶管Ⅱ","A","1",""
"13","00771407200601030","蒸汽胶管Ⅰ","A","1",""
"14","02561907140601070","出水管","A","1",""
"15","00771407200601040","胶管Ⅱ","A","1",""
"16","1990202281","涡轮涡杆卡箍","A","2","SX9/W4/20-32"
"17","00771407200601080","补水管","A","1",""
"18","1990202288","螺旋涡轮涡杆卡箍","A","1","SX12/W3/45-67"
"19","00771407200601010","胶管Ⅴ","A","1",""
"20","1990202287","螺旋涡轮涡杆卡箍","A","7","SX12/W3/32-54"
"21","00771407200601060","回水管","A","1",""
"22","00771607110601020","胶管IV","A","2",""
"23","1000301246","散热器总成","B","1",""
"24","00771407140601150","弯板Ⅱ","A","1",""
"25","00771407200601180","弯板Ⅲ","C","1",""
"26","00771407140601140","弯板Ⅰ","A","1",""
"27","1040004517","螺栓","A","7","GB/T5783-2000"
"28","00773407130601210","海绵条","A","1",""
"29","1040002262","螺栓","B","4","GB/T5783-2000"
"30","1040301031","垫圈","B","8","GB/T96.1-2002"
"31","00771407100601170","垫板","A","6",""
"32","1040200170","螺母","A","4","GB/T889-1986"
"33","00771607110601180","板I","C","2",""
"34","00771607110601200","板III","B","1",""
