"序号","物料编码","名称及规格","版本","件数","备注"
"5","00771400600001030","自润滑轴承","B","2",""
"6","1040002438","螺栓","A","1","GB/T5783-2016"
"7","1040302490","垫圈","B","3","GB/T97.1-2002"
"8","02551700340001020","调平油缸销轴","A","1",""
"9","00773400200001070","止动销","F","2",""
"10","02551700340001040","挡管","A","1",""
"11","1040200507","螺母","A","1","GB/T889.1-2000"
"12","02551700340001030","长螺杆","A","1",""
"13","1040300771","垫圈","A","9","GB/T97.1-2002"
"14","02551700340001050","顶部盖板","A","1",""
"15","1040005844","螺栓","A","6","GB/T5783-2000"
"16","02551500300001020","盖板II","A","2",""
"17","1040004517","螺栓","A","10","GB/T5783-2000"
"18","1040301515","垫圈","A","10","GB/T97.1-2002"
"19","02551500300001010","盖板I","A","2",""
"20","1040302492","垫圈","B","4","GB/T97.1-2002"
"21","1040004570","螺栓","A","2","GB/T5783-2000"
"22","00771400330930000","销轴III","B","2",""
"23","02551700340001080","倾角传感器安装板","A","1",""
"24","1040001631","螺栓","A","3","GB/T5783-2000"
