"序号","物料编码","名称及规格","版本","件数","备注"
"53","00771100301601060","调整垫片","A","6",""
"54","1040302489","垫圈","B","45","GB/T97.1-2002"
"55","00771100301601070","调整垫片","A","4",""
"56","00771100301490000","滑块","B","2",""
"57","1040004507","螺栓","A","4","GB/T5783-2000"
"58","00773400300001140","调整垫片Ⅴ","B","10",""
"59","00771400301401080","调整垫片Ⅳ","A","8",""
"60","00771100301320000","滑块","B","8",""
"61","1040002433","螺栓","A","13","GB/T5783-2000"
"62","00771100301300000","滑块","B","1",""
"142","1040000574","螺栓","A","6","GB/T5783-2000"
