"序号","物料编码","名称及规格","版本","件数","备注"
"1","00771407200801070","弯板Ⅱ","A","2",""
"2","00771407200801110","进气钢管Ⅱ","A","1",""
"3","02561907140801050","进气胶管Ⅱ","A","1",""
"4","00771407200801090","进气胶管Ⅲ","A","1",""
"5","1040004517","螺栓","A","4","GB/T5783-2000"
"6","1040301515","垫圈","A","12","GB/T97.1-2002"
"7","00771407200801080","弯板Ⅲ","B","1",""
"8","00771407200801040","进气胶管Ⅰ","A","1",""
"9","00772707100801040","进气管Ⅲ","A","1",""
"10","1990202290","螺旋涡轮涡杆卡箍","A","2","SX12/W3/70-92"
"11","1040004619","螺栓","A","2","GB/T5783-2000"
"12","1000100438","空气滤清器总成","A","1",""
"13","02551707100801020","进气管Ⅱ","A","1",""
"14","00771407200801020","进气钢管","C","1",""
"15","00771407200801060","弯板Ⅰ","A","1",""
"16","1040200503","螺母","A","6","GB/T889.1-2000"
"17","1040004518","螺栓","A","4","GB/T5783-2000"
"18","00771407200801010","进气管Ⅰ","A","1",""
"19","1990202289","螺旋涡轮涡杆卡箍","A","9","SX12/W3/57-79"
