"序号","物料编码","名称及规格","版本","件数","备注"
"13","02555407010201132","挤压与电击危险","A","2",""
"32","00773407000201412","安全系索点","A","6",""
"33","00773407000401142","工作平台操作盒","A","1",""
"34","00773407000401222","平台指示灯说明","A","1",""
"35","00773407000231192","砸压危险","A","2",""
"36","02551707020401072","ZT26JS-V平台标贴总成","A","1",""
"37","00773407000231392","保存手册","A","1",""
"38","00773407000201012","ZOOMLION-平台","A","1",""
"39","02555407010201142","碰撞与电击危险","A","2",""
"40","00771407000201132","ZOOMLION-配重","A","1",""
"41","00771407000201032","底盘载荷安全(右)-10000kg","A","2",""
"42","00771407000201022","底盘载荷安全(左)-10000kg","A","2",""
