"序号","物料编码","名称及规格","版本","件数","备注"
"1","1040002555","螺栓","A","18","GB/T5783-2000"
"2","1040300771","垫圈","A","24","GB/T97.1-2002"
"3","1040103123","螺钉","A","2","GB/T70.2-2000"
"4","1040201896","螺母","A","12","GB/T889.1-2015"
"5","00771600122301180","碰撞杆","B","1",""
"6","00771600132301080","连接板","B","2",""
"7","00771600122301190","限位块","A","2",""
"8","1040001631","螺栓","A","4","GB/T5783-2000"
"9","1040300735","垫圈","A","6","GB/T96.1-2002"
"10","02555300102301010","钢管夹","A","2",""
"11","1040302410","垫圈","A","4","GB/T97.1-2002"
"12","1040201772","螺母","A","4","GB/T6170-2000"
"13","1040102776","螺钉","A","4","GB/T70.1-2000"
"14","1159901036","弹簧合页","A","2","HSL-4100-7K"
"15","00771600122301260","限位板焊件II","B","1",""
"16","00771600122301230","支架II","B","1",""
"17","00771600122301200","支架I","B","1",""
"18","00771600122301250","限位板焊件I","B","1",""
