"序号","物料编码","名称及规格","版本","件数","备注"
"1","1040301515","垫圈","A","32","GB/T97.1-2002"
"2","1040000574","螺栓","B","4","GB/T5783-2016"
"3","1040007538","螺栓","A","4","GB/T5782-2000"
"4","1040202855","螺母","A","17","GB/T889.1-2000"
"5","1040301510","垫圈","A","6","GB/T93-1987"
"6","1040006427","螺栓","A","4","GB/T5782-2016"
"7","02551700711200000","钢拖链","B","1",""
"8","1040104089","螺钉","A","2","GB/T70.2-2000"
"9","1040302489","垫圈","B","23","GB/T97.1-2002"
"10","1040104023","螺钉","A","20","GB/T70.1-2000"
"11","1040303580","垫圈","A","20","GB/T96.1-2002"
"12","02555300700200000","线槽下盖","A","4",""
"13","00771100750001050","线槽上盖","B","4",""
"14","02551700710600000","拖链支架","B","4",""
"15","02551500710001020","管线支板","A","1",""
"16","00771400710001152","调整垫","A","2",""
"17","02551700710200002","钢拖管","A","1",""
"18","1040103567","螺钉","A","4","GB/T70.2-2000"
"19","02551500710001040","压板","A","4",""
"20","02551500710001080","管线夹I","B","4",""
"21","02551500710001060","管线夹II","B","4",""
"22","02551500710001070","管线夹III","B","4",""
"23","00771400700001011","垫圈","A","6",""
"24","02551700710001011","过线板","A","1",""
"25","1040103189","螺钉","A","8","GB/T70.2-2000"
"26","1040202856","螺母","A","2","GB/T889.1-2000"
"27","1040007513","螺栓","A","2","GB/T5782-2000"
"28","00771400760600000","旋转支架","A","1",""
"29","00771100760001010","滑动架","A","2",""
"30","00771400710001051","压板","A","1",""
"31","1040102738","螺钉","A","1","GB/T70.1-2000"
"32","02551700711000000","托管支架","A","1",""
